,group,Variables,Before,After,Difference,Perc_change
1,Both,AUTOMOVEL,71897.5716,90266.25683,18368.68523,25.54840841
2,Just_one,AUTOMOVEL,5892.296999,8375.998274,2483.701274,42.15166471
3,None,AUTOMOVEL,1289.323731,1929.019055,639.6953244,49.61479487
4,Both,diesel,517170.8127,690449.0172,173278.2045,33.50502393
5,Just_one,diesel,213927.1251,257857.1226,43929.99748,20.53502914
6,None,diesel,110236.4465,124433.816,14197.36942,12.87901585
7,Both,eth_retail_p,1.803956325,2.302522659,0.498566333,27.63738379
8,Just_one,eth_retail_p,1.870762066,2.374602109,0.503840043,26.93234228
9,None,eth_retail_p,1.994009971,2.504361541,0.510351571,25.59423365
10,Both,eth_ws_p,1.515267434,1.934745042,0.419477608,27.68340417
11,Just_one,eth_ws_p,1.565658663,1.991734873,0.42607621,27.21386337
12,None,eth_ws_p,1.628357198,2.087234527,0.458877329,28.18038511
13,Both,ethanolH,495892.9736,501210.8886,5317.915023,1.072391687
14,Just_one,ethanolH,79591.30628,76960.46403,-2630.84225,-3.305439215
15,None,ethanolH,36237.46485,35917.7251,-319.7397574,-0.882345823
16,Both,gas_retail_p,2.603411177,3.062969799,0.459558622,17.65217213
17,Just_one,gas_retail_p,2.644366037,3.103957923,0.459591886,17.38004042
18,None,gas_retail_p,2.756478549,3.197932535,0.441453986,16.01514317
19,Both,gas_ws_p,2.237144782,2.63385119,0.396706408,17.73271049
20,Just_one,gas_ws_p,2.254013798,2.649658902,0.395645104,17.55291401
21,None,gas_ws_p,2.294485027,2.699132219,0.404647192,17.63564316
22,Both,gasC,798573.5302,1277642.348,479068.8174,59.99057059
23,Just_one,gasC,159316.4954,226916.0857,67599.59023,42.43100505
24,None,gasC,76156.90445,101760.1862,25603.28176,33.61912088
25,Both,gdp_pc,19.22916618,33.21650669,13.9873405,72.74023411
26,Just_one,gdp_pc,10.87559162,20.49056845,9.614976822,88.40877034
27,None,gdp_pc,8.939440501,16.9592791,8.019838601,89.71298148
28,Both,hhi,2449.225782,2673.339815,224.114033,9.150403143
29,Just_one,hhi,4147.927046,4125.592676,-22.33437043,-0.538446559
30,None,hhi,6350.103914,6161.789634,-188.3142793,-2.965530673
31,Both,main dist (avg. #),4.38054883,3.518228808,-0.862320022,-19.68520511
32,Just_one,main dist (avg. #),2.474003887,2.513074195,0.039070308,1.579233886
33,None,main dist (avg. #),1.394239669,1.534893072,0.140653403,10.08817971
34,Both,MOTOCICLETA,18111.36168,24209.65846,6098.296783,33.6711115
35,Just_one,MOTOCICLETA,3205.790489,4771.830368,1566.039879,48.85035015
36,None,MOTOCICLETA,951.0487597,1478.108128,527.0593681,55.41875353
37,Both,MOTONETA,3026.485151,4289.303805,1262.818655,41.72558568
38,Just_one,MOTONETA,641.5342966,1021.248545,379.7142488,59.18845661
39,None,MOTONETA,159.7874613,265.9011116,106.1136503,66.4092473
40,Both,num_stations (total),10.28914799,10.02080203,-0.268345958,-2.60804838
41,Just_one,num_stations (total),2.730970651,2.826325082,0.095354431,3.491594853
42,None,num_stations (total),1.810930957,1.917632012,0.106701055,5.892055398
43,Both,num_stations Branded,9.598325484,9.139574869,-0.458750615,-4.779485921
44,Just_one,num_stations Branded,2.273973903,2.209844333,-0.06412957,-2.820154164
45,None,num_stations Branded,1.54920442,1.534107346,-0.015097074,-0.974504974
46,Both,num_stations Other,3.431741762,3.472075577,0.040333815,1.175316134
47,Just_one,num_stations Other,2.119602918,2.334126336,0.214523418,10.12092481
48,None,num_stations Other,1.493634343,1.653602057,0.159967714,10.70996492
49,Both,num_stations Unbranded,16.06290101,16.24472859,0.181827586,1.131972272
50,Just_one,num_stations Unbranded,3.896914614,4.286659349,0.389744735,10.00136708
51,None,num_stations Unbranded,2.200145525,2.40257252,0.202426995,9.200618451
52,Both,other (avg. # of dist.),9.335563454,8.297343677,-1.038219777,-11.12112602
53,Just_one,other (avg. # of dist.),4.602949309,4.34933,-0.253619309,-5.509930523
54,None,other (avg. # of dist.),2.893103159,2.796604635,-0.096498524,-3.335467783
55,Both,population,257897.5864,277422.8594,19525.27294,7.570940548
56,Just_one,population,41167.06031,44274.3655,3107.30519,7.548037598
57,None,population,14102.11129,15195.89001,1093.778716,7.75613448
58,Both,Total_fleet,111336.7268,144621.2113,33284.48451,29.89533235
59,Just_one,Total_fleet,11922.48126,17479.20561,5556.724344,46.60711324
60,None,Total_fleet,2968.555022,4562.486677,1593.931655,53.69385586
61,Both,total_fuel,1811637.316,2469302.253,657664.9369,36.30224057
62,Just_one,total_fuel,452834.9268,561733.6723,108898.7455,24.04822133
63,None,total_fuel,222630.8158,262111.7273,39480.91143,17.73380351